#T	RNL	rho
1.4	8225.3	52270.286896258
3	7445.96	44466.1301726261
5	9248.4	42393.7845403279
7	6707.81	31958.0014037313
10	4050.85	28646.1945352687
12	3031.17	21582.6368814442
14	2086.27	15508.0282294141
16	1255.9	11139.7231929283
18	773.147	8531.72680046881
20	465.682	6628.10166955597
22	302.292	5345.27840537566
24	213.41	4405.75838501831
26	158.99	3754.10198292797
28	128.103	3277.74687116257
30	105.012	2898.67081807037
32	86.0695	2620.75345988928
35	70.7749	2305.34273505648
38	61.7567	2083.32341749779
40	54.3181	1959.50755898264
45	46.1223	1748.03901442273
50	40.1856	1599.97423009144
55	36.8359	1496.3121815125
60	34.0821	1418.70483439259
65	31.5787	1357.86136632087
70	29.7548	1310.88179282786
80	27.4511	1244.43647474779
90	26.5064	1194.89780965569
100	24.5513	1158.76040500108
110	24.3158	1128.60430615142
120	23.5409	1098.70122547584
130	23.2131	1081.44288462464
140	22.9419	1064.82956804423
160	23.5678	1036.98346775994
180	23.9135	1012.72928937637
200	24.2979	994.139462498673
220	24.3456	978.976853605535
