#T	RNL	rho
#K		
1.4	3676.25	6231.09927563271
3	3705.05	6045.49005586048
5	3774.67	6019.40153340102
8	3713.44	6006.70482334918
10	3557.61	5849.2640306012
12	3266.36	5345.6170810092
16	1641.48	4407.47681479131
18	1037.03	3924.04565336664
20	737.384	3488.67000967012
22	516.132	3139.41516596466
24	374.939	2853.79333887553
26	279.118	2617.84042397031
28	217.32	2420.40658201438
30	174.118	2255.81425545415
32	144.816	2122.29897314564
35	116.54	1967.74113987969
38	99.8504	1839.0492393716
40	87.351	1776.10743922132
45	77.2897	1646.03916927706
50	68.1225	1550.17622347619
55	61.3097	1478.12852355045
60	56.3327	1418.48258695652
65	52.6313	1375.63939254789
70	49.7583	1342.66211663119
80	45.863	1297.65706680641
90	42.5728	1268.47486757506
100	40.3794	1254.63022599774
110	39.3273	1248.91154148547
#120	38.1472	
#130	37.31	
#140	36.83	
#160	36.35	
#180	36.35	
